state,type,date,sex,abs,rate
Terengganu,infant,2022-01-01,male,99,7.6
W.P. Kuala Lumpur,infant,2022-01-01,male,71,6.9
W.P. Labuan,infant,2022-01-01,male,6,8.5
W.P. Putrajaya,infant,2022-01-01,male,6,6.3
Johor,infant,2022-01-01,female,145,6.2
Kedah,infant,2022-01-01,female,95,6.3
Kelantan,infant,2022-01-01,female,106,6.5
Melaka,infant,2022-01-01,female,34,5.3
Negeri Sembilan,infant,2022-01-01,female,44,5.8
Pahang,infant,2022-01-01,female,75,6.6
Perak,infant,2022-01-01,female,93,6.5
Perlis,infant,2022-01-01,female,12,6.7
Pulau Pinang,infant,2022-01-01,female,42,4.8
Sabah,infant,2022-01-01,female,170,8.0
Sarawak,infant,2022-01-01,female,83,5.5
Selangor,infant,2022-01-01,female,212,5.3
Terengganu,infant,2022-01-01,female,68,5.6
W.P. Kuala Lumpur,infant,2022-01-01,female,51,5.3
W.P. Labuan,infant,2022-01-01,female,7,10.4
W.P. Putrajaya,infant,2022-01-01,female,9,10.2
Johor,neonatal,2017-01-01,both,274,4.485552918064991
Kedah,neonatal,2017-01-01,both,140,3.8154416373695255
Kelantan,neonatal,2017-01-01,both,198,5.061090946270641
Melaka,neonatal,2017-01-01,both,60,4.169851970255055
Negeri Sembilan,neonatal,2017-01-01,both,103,5.6975329129328465
Pahang,neonatal,2017-01-01,both,130,4.717837053166395
Perak,neonatal,2017-01-01,both,161,4.621390435731098
Perlis,neonatal,2017-01-01,both,11,2.4735776928266247
Pulau Pinang,neonatal,2017-01-01,both,83,3.866939992545658
Sabah,neonatal,2017-01-01,both,322,6.130063965884862
Sarawak,neonatal,2017-01-01,both,158,4.1961013438147345
Selangor,neonatal,2017-01-01,both,386,3.7120024618461924
Terengganu,neonatal,2017-01-01,both,114,4.084411164057181
W.P. Kuala Lumpur,neonatal,2017-01-01,both,94,3.8007439754164647
W.P. Labuan,neonatal,2017-01-01,both,7,4.154302670623145
W.P. Putrajaya,neonatal,2017-01-01,both,12,4.767580452920143
Johor,neonatal,2017-01-01,male,151,4.771233569261881
Kedah,neonatal,2017-01-01,male,70,3.6859565057132326
Kelantan,neonatal,2017-01-01,male,106,5.277833100975902
Melaka,neonatal,2017-01-01,male,31,4.1588408907968875
Negeri Sembilan,neonatal,2017-01-01,male,60,6.3897763578274756
Pahang,neonatal,2017-01-01,male,79,5.598469279285664
Perak,neonatal,2017-01-01,male,89,4.9573887372583965
Perlis,neonatal,2017-01-01,male,7,2.982530890498509
Pulau Pinang,neonatal,2017-01-01,male,50,4.525706010137582
Sabah,neonatal,2017-01-01,male,192,7.079646017699115
Sarawak,neonatal,2017-01-01,male,96,4.912244793532211
Selangor,neonatal,2017-01-01,male,201,3.734462961930773
Terengganu,neonatal,2017-01-01,male,70,4.937574945333992
W.P. Kuala Lumpur,neonatal,2017-01-01,male,55,4.323219619556673
W.P. Labuan,neonatal,2017-01-01,male,2,2.3094688221709005
W.P. Putrajaya,neonatal,2017-01-01,male,7,5.3929121725731894
Johor,neonatal,2017-01-01,female,123,4.178414919998642
Kedah,neonatal,2017-01-01,female,70,3.9543554400632694
Kelantan,neonatal,2017-01-01,female,92,4.832440382393109
Melaka,neonatal,2017-01-01,female,29,4.18168709444845
Negeri Sembilan,neonatal,2017-01-01,female,43,4.949355432780847
Pahang,neonatal,2017-01-01,female,51,3.793513835168105
Perak,neonatal,2017-01-01,female,72,4.264139769025762
